time,Rt median,Rt 95%CI LB,Rt 95% CI UB
57.01,140346531.168753,140231109.582869,148312355.328403
58.01,0.321475242068131,0.000752323641555485,11.862445266305
59.01,0.0744235994811588,0.000382854169415431,2.05858471012763
60.01,0.144398290675126,0.000909579813917685,1.70729520798928
61.01,0.319750263602935,0.00393507174552144,1.75862759852783
62.01,0.236629972564292,0.0228758575068739,1.78631246969331
63.01,0.200235812806504,0.143600725252709,1.78977393751848
64.01,0.58943615201336,0.576955731603831,1.78891861426312
65.01,0.927495624779569,0.923958193584052,1.78285884888077
66.01,0.991876148982878,0.991442206871763,1.77356308388979
67.01,0.999301723868775,0.999136911941431,1.76427701988871
68.01,1.00006793224292,0.999911731278612,1.75500641184783
69.01,1.00015042105561,0.999985396960198,1.75367595626108
