"ds","y","prediction","lower.98%","lower.95%","lower.90%","lower.80%","lower.70%","lower.60%","lower.50%","lower.40%","lower.30%","lower.20%","lower.10%","upper.98%","upper.95%","upper.90%","upper.80%","upper.70%","upper.60%","upper.50%","upper.40%","upper.30%","upper.20%","upper.10%"
2023-04-20,2,2.36534382760521,0,0,0,0,0,0,0,0,0,1.23811808341756,1.70744887421349,14.2566610141969,12.4199528668778,10.4103656660669,8.65013019927053,7.70406579590115,6.61488550302016,5.8443217384627,4.85354546902917,4.38906073363044,3.93099425665327,2.9048995060092
2023-04-27,0,2.66172276975769,0,0,0,0,0,0,0,0.495411973763201,0.3358824622506,1.3642402887996,1.64585128076128,14.6696570268252,12.7549965785079,11.0033062989238,9.08967831513518,7.93209824218844,6.82556870449118,6.17480664362201,5.59327999290516,4.72681292284425,4.12045845393972,3.0781930152986
2023-05-04,4,2.95810171167038,0,0,0,0,0,0,0,0.426319932899851,1.35919751587301,1.3802575709154,2.23062697621319,13.8089570160954,12.9975769110372,11.2794659320273,10.3808941149133,8.4239863525844,7.46515336503752,5.97152289678141,5.44582513201151,4.88043191883181,4.0851209712484,3.44940837466299
2023-05-11,1,3.25448065387462,0,0,0,0,0,0,0,0.92931420313748,1.09741497428377,1.78485580599361,2.58311479020766,15.14550594139,13.1696998105569,11.0255381869523,9.54447159844463,8.84523971805304,7.71120883017843,6.76765340005648,6.19668092100755,4.72332459173464,4.44680614434901,4.04214334366882
2023-05-18,0,3.55085959658873,0,0,0,0,0,0,0.282017793620064,1.23363386239872,1.30288286263799,2.26136866752624,3.14864283629852,15.2175944046282,12.9987372676643,11.378617121662,10.3008314797796,8.95086557339612,8.03572755910302,7.15759218366064,6.09029300608372,5.56911949111793,4.78874932393826,4.24036819950293
2023-05-25,17,3.84723853976154,0,0,0,0,0,0,0.545329086380205,0.860644734651207,1.63869936448111,2.50057069827847,3.4972370041131,15.6273363784889,13.9580952312152,11.7289718189049,10.5833577093054,8.94728585698803,7.80256339571706,7.18571028939384,5.98988104246781,5.68193947043241,5.12643991591584,4.90801534912305
2023-06-01,0,4.14361748269238,0,0,0,0,0,0.0328234375508638,1.15187524032161,1.58747353283284,2.24200879423374,2.7325975089936,3.40081914658982,16.34208063789,14.1522612240167,12.314877409554,10.7307934658089,9.35998246310853,7.96656753452337,7.95004675853505,6.92826777810257,6.12211709767634,4.96328699927946,4.6941682377429
2023-06-08,9,4.43999642541834,0,0,0,0,0,0,0.961677272907861,1.96327885280704,2.65971064523721,3.22836990812193,3.78351193290062,16.2331837550044,14.204991674233,12.4645369377916,11.2416569898761,9.83357486418291,8.85078464104491,7.65843097220083,7.17208748913348,6.57211500477193,5.68973082283953,5.02897921676884
2023-06-15,4,4.73637536762528,0,0,0,0,0,0.669882004772875,1.33782670352443,1.83587632504888,2.91216475813272,3.60542484631249,4.62731578344686,16.0070360301645,14.2878178579346,13.0016771518293,11.3200757962055,9.68240301725459,8.9630730077705,7.98201821967072,7.09852671619959,6.51650249753299,6.06916380119916,5.64413202221428
2023-06-22,0,5.03275430983223,0,0,0,0,0.10864753447995,0.819808907722275,1.9583392687337,2.6124408339434,3.0557851086727,3.39511139094667,4.64134703140565,17.1677059574581,15.2816507709707,14.0201165321858,11.5110152528147,9.86391489545015,9.2894926707626,8.54111057320956,7.57635876020798,7.03793061965421,5.92925970511612,5.83545903277822
2023-06-29,NA,5.32913325203918,0,0,0,0,0.747594798025384,1.02956554752017,2.04159475123923,2.70674237734601,3.29939236209799,4.32830853222852,4.51147101274731,16.8885049828004,14.83747601737,13.8310628662581,11.9244895747927,10.7309010812602,9.43780541170705,8.80158120199564,8.38118409707235,7.07145750491383,6.50522099722272,5.87348616310109
2023-07-06,NA,5.62551219424612,0,0,0,0,0.355872358349995,1.65996209381751,2.54915860994646,2.99038810411841,3.57485091183335,4.40969800553896,5.00686481991193,16.7406199875149,15.8430751707884,13.7695223676403,11.9543849831873,10.6168959203534,9.66469064824074,8.95499681609953,8.25564753910729,7.41374863484834,6.97441121115786,6.27880605645033
2023-07-13,NA,5.92189113645307,0,0,0,0,1.36907961738441,1.2716380182255,2.59865696057463,3.48507801098905,4.1443022269617,4.77636237406661,5.19282214860796,17.6016572687641,16.0156706140519,13.8743826308678,12.1248707018296,11.2929489792328,10.1337869828368,9.13274795386103,8.8983526829216,7.83745778400576,7.59058482562847,6.49931355433558
2023-07-20,NA,6.21827007866002,0,0,0,0,1.1529233788992,1.82130046998221,3.07591776754232,3.57103911266053,4.12904649663609,5.24270993623546,5.48931460979984,17.5993248187096,16.0196982111259,14.7971337971848,12.1400535696293,11.265069184786,10.6710561692875,10.0567872876077,8.71923867479698,8.10798410476267,7.59509393008628,6.9547682850355
