month,day,data,median,LB,UB
3,16,92,92,92,92
3,23,113,113.74869595925,43.6108914688128,190.554321438609
3,30,111,139.065917547467,63.3989868769993,216.718827249715
4,6,182,135.075591767895,61.4605682109419,212.70780343225
4,13,94,111.276122448148,38.1279443718558,182.846230943669
4,20,70,92.2979016446987,18.7130097373786,164.304209933167
4,27,71,83.760574608265,14.1967464513058,156.819623775825
5,4,96,81.5630398187095,9.23844077766555,159.585862231055
5,11,87,70.8366753306969,-0,155.790043985116
5,18,32,54.7529371618111,-0,136.529433818667
5,25,NaN,40.1688451646567,-0,127.296394384001
6,1,NaN,31.5237731555512,-0,122.499786451102
6,8,NaN,29.5189184750419,-0,129.932808190653
6,15,NaN,26.1861181621097,-0,132.381618924649
