month,day,data,median,LB,UB
3,23,12,12,12,12
3,30,3,3.21142156806323,-0,8.60395847943972
4,6,4,3.86303010126318,-0,9.37298232187223
4,13,3,4.6728909558783,-0,10.0688206127691
4,20,4,5.62763000859945,0.384822334959083,10.8285430947921
4,27,11,6.6688029458286,1.14722743595458,12.0363795879459
5,4,5,7.94433653622298,2.51826932148458,13.5774312997526
5,11,9,9.40515830762044,3.70082185567081,15.0492032966462
5,18,12,11.1494153093305,5.05568713702783,17.6107988730739
5,25,NaN,13.1774997840252,6.33050744170129,20.6356320206243
6,1,NaN,15.7251506288545,7.0821156431818,24.4888694565751
6,8,NaN,18.5421157387305,7.96496320273405,30.3764795515115
6,15,NaN,22.0443414469107,8.1859860294093,37.3695025743966
