time,Rt median,Rt 95%CI LB,Rt 95% CI UB
41.01,140281198.242365,140231109.582869,147325670.00919
42.01,0.140863239004499,0.000752323641555485,11.0605035910823
43.01,0.000403004719459633,0.000382854169318819,1.94234755879548
44.01,0.000957428668922943,0.000909579751510052,1.44039485123053
45.01,0.00414144372400835,0.00393505858465793,1.42807439556943
46.01,0.0240516597377668,0.0228758625606446,1.3991283200708
47.01,0.150029746123402,0.143600395757152,1.38168222881622
48.01,0.58943619879558,0.576955300303558,1.36761129756396
49.01,0.927495342488265,0.923959095223551,1.35706363161697
50.01,0.991876241272726,0.991441621747716,1.34931053636723
51.01,0.999188047340861,0.999138873305019,1.34530759314334
52.01,0.999924943064414,0.992840390135661,1.33939081888885
53.01,0.999994214302437,0.885770783954897,1.33047800462353
54.01,1.00000152977869,0.794353991226064,1.33243665212549
55.01,1.00000155336052,0.715211237294564,1.33092803604607
56.01,1.00000173264469,0.807641864444737,1.33174185260682
57.01,1.00000192992809,0.604182494070281,1.33081509209469
58.01,1.00000137974861,0.578195391946131,1.33186605974914
59.01,1.00000228429325,0.625428366122468,1.33735595641864
60.01,1.00000123973124,0.591721040512692,1.33765606955511
61.01,1.00000234544689,0.569109717048521,1.33136908322315
62.01,1.00000151068506,0.558697847543016,1.33200983635816
63.01,1.00000151521419,0.584571411543501,1.33096261135162
