time,Rt median,Rt 95%CI LB,Rt 95% CI UB
51.01,142485173.038282,141876275.372464,143375575.933514
52.01,5.09006630878489,3.93434171128588,6.54021030338595
53.01,1.76912312179314,1.55749710925257,1.99278878022735
54.01,1.39228548805679,1.12445983143809,1.63340243381211
55.01,1.15633608250128,0.939306958359367,1.37699273186323
56.01,0.950906100632135,0.7915787289165,1.13878422579531
57.01,0.794648386973002,0.637528671885443,0.948969945059833
58.01,0.680217308420739,0.496818165793737,0.863614962600879
59.01,0.592219176226567,0.400306623659282,0.811678552395171
60.01,0.530455150384181,0.343850388809254,0.789615093990112
61.01,0.494510755173621,0.307431628952296,0.773493990089882
62.01,0.46937518145863,0.292885998755215,0.76781004622151
63.01,0.454834877225677,0.287492098808846,0.764137943658397
