"ds","y","prediction","lower.98%","lower.95%","lower.90%","lower.80%","lower.70%","lower.60%","lower.50%","lower.40%","lower.30%","lower.20%","lower.10%","upper.98%","upper.95%","upper.90%","upper.80%","upper.70%","upper.60%","upper.50%","upper.40%","upper.30%","upper.20%","upper.10%"
2023-05-18,123.985952092216,90.1616549644429,14.94181073331,24.6467845195873,40.4631818730699,52.5083153420783,59.0174134617758,60.5755542771911,68.7274848278986,71.8948851399002,79.0260086728891,82.8374657725573,85.7796227145804,162.244328369883,148.968160518788,139.110846426422,130.219624139779,123.294740365912,114.386171006015,112.017880811985,106.824392180839,102.064169067683,100.434004641953,94.2393384167629
2023-05-25,123.985952092216,92.2458202186692,21.0233527627773,26.7167174834807,37.6521400790838,54.2571039023288,60.3617461475747,66.6727093748545,73.6598191977264,76.6905098845561,79.7531109877196,83.3278113828247,87.3723774654659,161.417005469948,150.723541359151,147.808384687929,133.469982945435,126.436732983981,120.422359006554,113.271036790733,108.69742989131,106.277493159734,101.341374346827,95.0676777293367
2023-06-01,101.384947345311,94.3276586758242,16.1627757338714,31.1006010117318,41.8444540588587,51.6301831731366,61.8604173088649,69.5401503510159,71.4291736077531,77.3526828666707,82.8588470497298,85.6351027007272,91.6364424542565,165.525982509135,154.018461411723,144.09564702848,136.215037908436,126.437854060763,123.186092654919,116.732336255616,109.579385567347,106.290017524607,102.445408457124,99.2533765369814
2023-06-08,81.4924900731911,96.4072261857766,24.690054706381,35.9153776779204,41.321880792949,52.2714708039031,61.6867776341126,70.4447090454489,73.3652180014615,80.8908397385324,86.230047336494,87.8219169162544,88.9538344530202,169.141616509365,161.142927802616,148.94106440582,135.427034852249,130.22842116419,124.893618844666,116.609693511879,112.936834016624,108.761073836294,103.19675934469,99.1640740380169
2023-06-15,137.896835499726,98.4845760272934,26.4360733882036,33.3243970923571,43.8239444521375,55.9280300961166,67.4898268619007,73.0385748151474,74.5163553521507,82.2102351047561,82.5132464511297,88.7099388387131,94.0601442066492,166.772784659488,159.639820483386,148.070527036575,138.100464083299,133.458898706483,125.571867005932,116.775190747329,116.05586446108,108.062532485809,105.611082865828,102.833856482458
2023-06-22,135.362436586562,100.559759096551,21.0749429252263,42.0647706981767,52.1762703650792,60.3331495646363,67.7612539010993,74.1562011263939,79.3526080032861,82.7000368909462,89.0683982210656,91.8356323690339,98.3474347278041,171.53188014052,160.638403873918,154.599079020797,140.412221002847,133.891764411627,127.591897384706,120.442595692457,117.121143847539,114.808928892131,109.645701610379,106.00723768067
2023-06-29,40.0612601510927,102.632824047442,30.1947684712767,39.3391878849692,49.8251273529185,62.6021779942765,68.3108500666702,75.1054499320527,79.6751244121543,87.5604275684909,90.6952387713961,96.5013601858979,99.1540473067439,176.538123224055,165.601414758542,155.576880158437,140.746701481386,135.641649227508,132.059419927006,123.478437115316,120.774201384739,113.227649129287,111.968052527106,106.205657224039
2023-07-06,151.874508314778,104.703817454206,27.6292846579616,38.0367596494921,49.6846586306483,66.5202763810788,74.3483277697466,77.8290913665781,84.9164257490146,89.5702319968816,90.5481019825301,94.9196623675551,97.7277987261291,170.932976533175,163.45024235311,155.511230837775,144.164649771739,138.076455004572,129.771563398266,128.702410587927,122.311184000366,114.884359587307,110.588048017675,107.893132164227
2023-07-13,200.604087995989,106.772783914587,37.9497570573935,43.2864931418148,50.5871020632949,67.1857531365032,76.2705226097761,81.300088569235,84.3319449905074,89.0173294797111,93.9837154797862,99.3760350309738,100.34655077576,179.420582224814,164.796795653938,158.530351934289,147.55020287896,138.835224970671,134.764642606295,128.614809595366,121.932260242235,117.840678266225,116.923131154252,109.360724882869
2023-07-20,100.135844527255,108.839766200785,32.0812709757657,48.1366156647404,54.8745034198585,68.9702491553368,77.6294117728135,81.7823878616487,85.3812207976156,92.7735276068927,96.2139888690846,100.109590793451,106.076423753936,182.815440887608,169.36632164341,157.420880832133,148.11534660967,145.082973787608,135.862546699645,131.368699197779,127.486319162478,122.561563797748,116.070092096046,112.834989208168
2023-07-27,NA,110.904805351809,36.7724236730741,44.008630462843,61.3793674032346,68.4627965235144,78.3688388715126,84.6843430616803,91.265414826987,93.7468969726911,99.0744781097218,101.361504849285,105.319595962175,181.312612018095,174.333303188142,162.291056278093,148.991772762195,143.075591221543,136.351823887018,131.655777560826,126.324593192516,122.909063180584,118.80891823466,113.869987245753
2023-08-03,NA,112.967940779638,45.1763323684202,48.8698478691488,59.4312727347631,74.7841945940686,80.5919416112542,84.445155220996,92.1044553043128,96.1065727612894,100.645208688393,103.743531825587,107.038556834888,184.261865900391,174.630849163579,166.695480293516,156.007796995578,143.807448385386,139.273065690045,134.636249756474,131.523052257818,124.522666213797,120.850979388249,116.01043140175
2023-08-10,NA,115.02921036341,43.7378913567699,55.9050214270188,60.733800942454,76.7342442756403,80.2263352591284,86.5444645890322,93.8657577931009,98.7602704745889,103.595466307185,105.611680594248,110.744829754632,184.575783980675,173.889167544635,160.683332406562,154.769469438618,146.375202279081,142.157718551074,137.527076773895,130.898469483457,126.700442195278,121.645625002705,119.081046432518
2023-08-17,NA,117.088650536507,41.012410029244,50.4977979783329,65.8888873034889,78.4063758751386,83.4810172534943,91.7296134281612,92.6413912373102,101.479561211069,105.067366061969,109.321172301908,112.340995090304,189.480208794382,178.657345192428,172.27894149293,155.298635419983,150.824856344584,143.582936228844,135.608859602902,134.156584041936,130.263875250979,125.496330812747,120.172740681005
