"year","month","day","data","median","LB","UB"
2023,4,13,99,99,99,99
2023,4,20,63,78.9862287059009,31.9534006544071,129.018891335941
2023,4,27,107,103.024126176642,54.8855272993765,151.037944535211
2023,5,4,142,117.908618081564,70.4264365939429,165.25818395977
2023,5,11,98,121.229595298475,72.9374283884855,168.651564069391
2023,5,18,103,110.60802851261,62.2087208806058,159.20325384756
2023,5,25,103,92.4090670342571,47.1014674407948,140.772817511351
2023,6,1,85,72.488533983872,23.9623970642039,119.646627424542
2023,6,8,67,52.987963456296,3.99007798051687,100.716898078129
2023,6,15,7,37.4174610170491,0,86.4533554740447
2023,6,22,NA,26.5091059032141,0,75.3116296483226
2023,6,29,NA,18.2005883159432,0,65.9416968554278
2023,7,6,NA,12.1722926054681,0,60.7283300447407
2023,7,13,NA,8.99650130180367,0,54.1361732212736
