"Week","Brazil","Canada","China","Colombia","England","France","Germany","Japan","Mexico","Peru","South Korea","Spain","Thailand","United States","US_CDC","World"
2022-04-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,1
2022-05-12,0,0,0,0,8,0,0,0,0,0,0,0,0,0,14,19
2022-05-19,0,0,0,0,62,5,10,0,0,0,0,40,0,0,13,232
2022-05-26,0,0,0,0,125,12,34,0,0,0,0,102,0,0,32,372
2022-06-02,0,81,0,0,125,49,69,0,1,0,0,56,0,32,77,580
2022-06-09,3,73,0,0,203,59,150,0,3,0,0,115,0,33,135,849
2022-06-16,6,26,0,0,269,152,258,0,7,0,1,207,0,48,255,1359
2022-06-23,11,95,1,3,283,163,353,0,4,3,0,280,0,131,465,1779
2022-06-30,58,83,0,2,275,137,430,0,12,12,0,677,0,216,988,2341
2022-07-07,141,119,1,2,384,144,390,0,8,14,0,970,0,405,1602,3129
2022-07-14,165,127,0,0,402,191,416,0,13,66,0,678,0,1100,2119,3819
2022-07-21,312,140,0,5,295,655,349,2,11,113,0,613,1,1513,2723,4636
2022-07-28,778,59,0,8,327,487,265,0,31,105,0,839,2,2347,2981,5908
2022-08-04,819,187,1,35,258,369,301,2,56,234,0,585,1,3077,3189,6579
2022-08-11,692,69,0,74,38,326,162,0,105,287,0,630,1,3013,2432,6168
2022-08-18,911,109,0,144,285,140,163,0,134,354,0,492,0,3441,2684,6762
2022-08-25,797,60,0,309,73,658,117,0,119,275,0,259,2,2638,2030,6006
2022-09-01,832,61,1,356,71,173,44,0,0,261,1,206,0,1857,1780,4343
2022-09-08,604,32,0,322,68,113,37,0,284,240,0,198,0,1983,1378,4299
2022-09-15,890,42,1,393,33,110,37,1,579,127,0,136,1,2206,1090,5158
2022-09-22,515,26,0,389,50,27,30,0,260,345,0,66,0,1129,783,3282
2022-09-29,495,11,0,411,19,29,16,1,341,151,0,60,2,1224,649,3112
2022-10-06,432,10,1,277,0,44,20,1,0,181,0,30,0,201,549,1608
2022-10-13,264,0,0,380,32,41,5,0,500,145,0,38,1,773,414,2511
2022-10-20,301,25,0,188,12,10,6,0,186,135,0,40,1,442,329,1638
2022-10-27,200,0,0,225,3,0,6,0,0,62,0,0,0,512,291,1160
2022-11-03,249,9,0,107,0,3,2,0,247,159,0,19,0,211,238,1298
2022-11-10,180,1,0,0,9,5,1,0,244,90,1,56,0,269,190,1108
2022-11-17,221,4,0,173,10,2,0,0,0,85,1,13,0,200,151,870
2022-11-24,131,7,0,49,5,3,0,0,216,22,0,3,0,126,95,785
2022-12-01,104,3,0,28,5,3,2,0,1,42,0,0,0,305,103,648
2022-12-08,141,0,0,28,0,0,2,0,146,58,0,8,0,81,90,615
2022-12-15,103,0,0,63,0,0,1,0,1,56,0,80,0,15,89,411
2022-12-22,135,1,0,50,0,4,0,1,0,21,0,0,0,26,46,350
2022-12-29,41,0,0,14,0,0,1,0,128,9,0,4,0,75,48,460
2023-01-05,62,0,0,14,0,0,0,0,0,43,0,5,0,132,59,390
2023-01-12,78,0,0,13,5,0,7,0,59,16,0,9,0,26,36,342
2023-01-19,38,0,0,4,0,0,6,1,0,12,0,4,0,73,40,256
2023-01-26,36,0,0,6,0,14,1,6,72,4,0,10,3,43,28,366
2023-02-02,13,0,1,2,0,0,0,3,0,10,0,5,0,45,21,154
2023-02-09,50,0,0,6,0,0,0,2,60,15,0,5,0,26,15,215
2023-02-16,17,0,1,1,0,0,0,2,0,0,0,5,0,13,11,143
2023-02-23,21,0,2,1,0,0,0,5,49,12,0,0,0,28,17,205
2023-03-02,16,0,0,3,3,0,0,4,0,10,0,0,0,15,13,128
2023-03-09,16,0,5,3,0,0,0,14,51,2,1,3,1,18,18,160
2023-03-16,0,18,4,1,0,0,0,14,0,0,0,0,1,9,9,92
2023-03-23,12,0,5,0,0,0,0,21,9,9,0,0,1,18,17,113
2023-03-30,3,2,0,0,0,16,0,15,0,0,0,3,1,12,18,111
2023-04-06,4,0,4,0,3,0,0,13,19,15,1,0,0,49,7,182
2023-04-13,3,0,15,1,0,0,0,2,0,0,7,0,0,6,14,94
2023-04-20,4,0,12,0,0,0,0,10,9,0,17,0,2,10,9,70
2023-04-27,11,4,16,0,0,2,0,7,0,0,19,2,0,2,16,137
2023-05-04,5,0,15,0,0,0,0,0,45,0,19,0,4,0,20,163
2023-05-11,9,0,5,0,1,0,0,22,0,0,7,0,1,34,11,146
2023-05-18,12,0,28,0,0,0,0,0,7,0,9,0,0,6,10,75
2023-05-25,0,12,17,0,10,0,0,14,0,0,5,4,17,31,20,111
2023-06-01,7,0,1,0,1,0,0,6,3,0,13,1,0,18,1,54
