time,Rt median,Rt 95%CI LB,Rt 95% CI UB
49.01,141717440.169405,141161355.285761,142703306.799666
50.01,3.59908129162263,2.37661787313168,5.42931497438331
51.01,1.41195407801191,1.04349812994312,1.83485001686328
52.01,1.32889179066154,0.995085318272084,1.59823174001999
53.01,1.27443386007157,0.90297273491026,1.46104861515546
54.01,1.11393134992641,0.795290626815051,1.32811874400701
55.01,0.982036628848277,0.685680890564226,1.23348560644901
56.01,0.85349974755706,0.576365918645242,1.15223201319894
57.01,0.749347468874363,0.467553696335868,1.12189306828097
58.01,0.658265125991738,0.411051367110901,1.07281201539599
59.01,0.595464983457497,0.36551691565718,1.0593369005627
60.01,0.544312059867515,0.34209994671504,1.04840154666034
61.01,0.517150942505515,0.332960977644784,1.04440611712219
