"month","day","data","median","LB","UB"
6,15,4,4,4,4
6,22,0,11.5531840866944,0,88.351924668629
6,29,0,13.0309383817814,0,89.541764844127
7,6,63,15.4703746877556,0,90.2927182832113
7,13,0,16.7454119440817,0,93.6865148696538
7,20,0,16.372443505181,0,92.5151203268013
7,27,0,17.2547272399445,0,91.6345514942179
8,3,0,20.3735389430439,0,97.914518319682
8,10,70,22.6728858381944,0,98.9329013473752
8,17,0,23.6109154117087,0,103.542660212138
8,24,NA,25.7525971808013,0,122.988647205796
8,31,NA,26.9504572772245,0,160.411103009806
9,7,NA,28.9097714528412,0,236.814309958742
9,14,NA,30.6456356219537,0,362.535897985597
