month,day,data,median,LB,UB
1,7,15,15,15,15
1,14,15,16.7727369407369,0.994912018702587,33.395100692564
1,21,21,24.3111318478627,7.71118196788209,41.1309124262164
1,28,31,28.6663028890548,11.7154503062906,46.3250649201538
2,4,29,27.3745926091567,10.7135434660565,44.3736891004785
2,11,21,21.4639873460672,4.52424486164502,38.0528573469813
2,18,15,14.5712657940272,-0,31.1427963040925
2,25,0,9.01361760180945,-0,24.8719396684637
3,3,7,5.38452905735276,-0,21.3056082919764
3,10,18,3.33708150528224,-0,19.0324604805099
3,17,NaN,1.937140755713,-0,16.571731768113
3,24,NaN,1.10872701671698,-0,15.8823852090021
3,31,NaN,0.861705697006383,-0,15.3047460539437
4,7,NaN,0.421628051377859,-0,15.6727353453724
