"year","month","day","data","median","LB","UB"
2023,4,6,0,7.19860068750293,0,15.2543911394857
2023,4,13,7,6.75404170375924,0,14.8691715192054
2023,4,20,11,6.30948272008397,0,14.8447810024691
2023,4,27,5,5.86492373635091,0,13.506423687341
2023,5,4,9,5.42036475250153,0,12.6309694389092
2023,5,11,12,4.97580576864258,0,12.675169577619
2023,5,18,0,4.5312467848405,0,12.1617861843515
2023,5,25,7,4.08668780112404,0,11.6985398270797
2023,6,1,1,3.64212881738411,0,11.600595399471
2023,6,8,0,3.19756983364418,0,11.0541747030459
2023,6,15,NA,2.75301084990424,0,10.8009602596805
2023,6,22,NA,2.30845186616431,0,10.7141023098949
2023,6,29,NA,1.86389288242438,0,9.68668456638931
2023,7,6,NA,1.41933389868444,0,9.15177676347982
