time,Rt median,Rt 95%CI LB,Rt 95% CI UB
50.01,141482092.11977,140959418.059317,142469457.951209
51.01,3.10064691966285,1.90159192939009,5.02046112456049
52.01,1.28025970292336,0.860398446780871,1.72263736346332
53.01,1.26768905843328,0.951984095643741,1.61228292925615
54.01,1.28099910060462,0.924829941513644,1.56101942346441
55.01,1.18032562859591,0.85305787123992,1.3853519964334
56.01,1.06264768434708,0.761436104761054,1.25385006966778
57.01,0.948292342291616,0.669824132312753,1.15958416169942
58.01,0.855525875330284,0.583137163167968,1.08161359587558
59.01,0.778330840537766,0.497088412889875,1.00045970366057
60.01,0.710097509942396,0.440311957622254,0.971954502601147
61.01,0.656974787518941,0.404556159383345,0.944781159401702
62.01,0.616383073836154,0.379976469296014,0.923712221333667
63.01,0.585048162326281,0.375518583693569,0.917954127695133
64.01,0.559920609294327,0.374925311881129,0.915506887022167
65.01,0.541462373749889,0.378717031571485,0.916834075542697
66.01,0.531657815651517,0.365282595785051,0.916586333084433
67.01,0.528052321755629,0.335079822512246,0.908888176840555
68.01,0.531826883185631,0.292986645530831,0.901051395776603
69.01,0.528636142557346,0.216296827076376,0.89430487847228
70.01,0.531242603042216,0.213375918585007,0.916611610936037
71.01,0.529078951777897,0.207364245629585,0.878970375908406
72.01,0.543871970970663,0.128817676339941,0.982906911400866
