Date,data,median,LB,UB
2024-01-07,15,14.1,8.07,20.12
2024-01-14,15,16.33,11.71,20.96
2024-01-21,21,22.51,18.1,26.91
2024-01-28,31,28.53,24.16,32.89
2024-02-04,29,28.84,24.34,33.34
2024-02-11,21,22.03,17.54,26.53
2024-02-18,15,11.65,7.28,16.01
2024-02-25,0,4.55,0.15,8.96
2024-03-03,7,6.4,1.77,11.02
2024-03-10,18,17.07,11.05,23.09
2024-03-17,NA,29.95,15.4,44.5
2024-03-24,NA,42.83,18.32,67.34
2024-03-31,NA,55.71,21.01,90.4
2024-04-07,NA,68.58,23.64,113.53
