"month","day","data","median","LB","UB"
5,11,1,1,1,1
5,18,0,5.98699996743435,0,16.2942939827338
5,25,10,9.02858589459578,0,19.8448384384121
6,1,1,4.18450772902366,0,13.9801445051834
6,8,0,1.52873972925607,0,10.4309776253677
6,15,0,0.794656492647019,0,8.84373759164885
6,22,0,0.299096281112391,0,8.48422784221549
6,29,0,0.189031482877901,0,8.38383192586504
7,6,8,0.217237609465817,0,8.21397124674802
7,13,0,0.111325772677613,0,8.30960739117865
7,20,NA,0.171622753714317,0,8.13114731527892
7,27,NA,0.104641759500825,0,8.06639221927082
8,3,NA,0.129249346394309,0,8.2635717001854
8,10,NA,0.0926682087980275,0,8.23350607141929
