time,Rt median,Rt 95%CI LB,Rt 95% CI UB
45.01,140231123.648683,140231109.582869,144736860.968683
46.01,0.00079192180843918,0.000752323641555485,8.39110880084714
47.01,0.000403004719455598,0.000382854169415431,1.74903220573294
48.01,0.000957428668912342,0.000909579751737406,1.22977326566629
49.01,0.00414144372396704,0.00393505858564735,1.28540139895977
50.01,0.0240516597375057,0.022875862566235,1.33038172035377
51.01,0.150029746122137,0.143600395787892,1.33427724358565
52.01,0.589436198793359,0.576955300364521,1.33292905000248
53.01,0.927495342485671,0.923959095243142,1.33533747721366
54.01,0.991876241271527,0.991441621747716,1.33364486043184
55.01,0.999188047339414,0.999138873305019,1.33390651264438
56.01,0.999924943063116,0.99990869999634,1.3350997312322
57.01,0.99999421430199,0.999987094007108,1.33263753226899
58.01,1.00000152977784,0.999990547954351,1.33452345629807
59.01,1.00000155336029,0.999993416200102,1.3331473199916
60.01,1.00000173264413,0.999992946275997,1.33389676712048
61.01,1.0000019299278,0.99999216731331,1.33308279512692
62.01,1.00000137974861,0.999994400872042,1.33401374659896
63.01,1.00000228429226,0.999990728974791,1.33348382567034
64.01,1.00000123973028,0.999994968271732,1.33415122526998
65.01,1.00000234544625,0.999990478214886,1.33366120583176
66.01,1.00000151068416,0.999993866859094,1.33407181721016
67.01,1.00000151521328,0.999993847492682,1.33292869200535
