"year","month","day","data","median","LB","UB"
2023,4,20,2,11.3602373766194,0,36.637442902255
2023,4,27,0,12.0773239970624,0,36.6671108442712
2023,5,4,34,12.79441061796,0,39.5603384755342
2023,5,11,6,13.5114972391688,0,39.2441551669831
2023,5,18,31,14.2285838597733,0,41.0981197026876
2023,5,25,18,14.9456704810363,0,40.5200482175245
2023,6,1,0,15.6627571024417,0,39.4155920242192
2023,6,8,24,16.3798437244368,0,41.254761701692
2023,6,15,31,17.0969303460271,0,43.3506813239415
2023,6,22,0,17.8140169676174,0,43.2175821925404
2023,6,29,NA,18.5311035892077,0,44.6963513182374
2023,7,6,NA,19.2481902107979,0,43.9640011828403
2023,7,13,NA,19.9652768323882,0,45.3244357565468
2023,7,20,NA,20.6823634539785,0,44.1853809118492
