time,Rt median,Rt 95%CI LB,Rt 95% CI UB
53.01,147056920.541098,141707744.899372,162744357.510017
54.01,10.8600393607767,3.57106704902756,18.2481421008312
55.01,1.81964204946717,7.17954251755138e-05,5.07458729202413
56.01,0.775661528399062,7.66735380343461e-05,2.60157847581565
57.01,0.372553164183338,0.000114116832653936,1.37094499573092
58.01,0.210526376056076,0.000106902342045147,1.25722808678361
59.01,0.143457934116594,0.000146989445576551,1.1509834072551
60.01,0.115787034409159,0.000229015365709982,1.00375770835558
61.01,0.11667964740561,0.0001116803090995,1.00319063274666
62.01,0.129572371803407,0.000603744188020244,1.00283243615475
63.01,0.173972355642985,0.00111926697678306,1.04130218945607
64.01,0.212672872988368,0.00148146908838619,1.34791403372697
65.01,0.273514058872782,0.00224816759367761,1.29255467832772
