time,Rt median,Rt 95%CI LB,Rt 95% CI UB
43.01,145527475.389647,142438517.408029,148834092.875684
44.01,9.28904278514538,4.96926675090626,12.2012574465348
45.01,1.71164461070449,1.45782063715797,2.21595004632518
46.01,1.01550938522554,0.886595345571579,1.55111834880704
47.01,0.88477737845516,0.740153775138031,1.28616868935435
48.01,0.847161826199389,0.699223269470166,1.08317678880316
49.01,0.829201539779591,0.666300267023125,1.00490215926505
50.01,0.817124454271838,0.628404427939554,0.974039042891824
51.01,0.808292892979768,0.618167757110079,0.969542918380378
52.01,0.803481053478569,0.584126152930309,0.959891942637802
53.01,0.800890720956932,0.537727047267251,0.960048293291125
54.01,0.798858830126109,0.504175503647721,0.952064678329674
55.01,0.798647829588059,0.500402159405369,0.941133152878929
56.01,0.797449005848381,0.498807388051972,0.939678706548987
57.01,0.794364946205719,0.471509342511385,0.939651951877049
58.01,0.794983254850483,0.472832547170729,0.939734596951139
59.01,0.793160589930451,0.498907694562645,0.939526558485291
60.01,0.792772865470104,0.490586819293565,0.939477483816782
61.01,0.793225139726242,0.461272808704298,0.939468110795353
62.01,0.790685947668036,0.504471634362561,0.939464324198655
63.01,0.790630911720755,0.467928600970878,0.939579460309505
64.01,0.7896750695107,0.508260960547627,0.958380610174715
65.01,0.792145837572422,0.50443045623852,0.966801528098619
