"ds","y","prediction","lower.98%","lower.95%","lower.90%","lower.80%","lower.70%","lower.60%","lower.50%","lower.40%","lower.30%","lower.20%","lower.10%","upper.98%","upper.95%","upper.90%","upper.80%","upper.70%","upper.60%","upper.50%","upper.40%","upper.30%","upper.20%","upper.10%"
2023-03-23,12,6.46554522840421,0,0,0.0704068920397727,1.36260190910194,2.1757170229843,3.16950276735703,3.54476607047542,4.06839067487466,4.81808208965564,5.36564366034598,6.02973869115217,15.8031773642841,14.4535420270672,12.757933436568,11.4765541452358,10.9735053177584,9.5615497356764,8.88252150493803,8.52033474638305,7.78496046216701,7.55503797119474,7.08577891964913
2023-03-30,3,6.42815138063819,0,0,0,1.26477378482272,2.25577822551616,3.29853032334849,3.63040462131507,4.37444151287583,5.05943878695554,5.57828157701133,6.02697756079512,15.6685190777832,14.2721848057819,13.1143993984663,11.3975263884501,10.8872106939337,10.1271744019947,9.12820539304425,8.33643856549918,8.18305358259795,7.48954353386559,6.95810471643104
2023-04-06,4,6.39075753291662,0,0,0,1.41417801157588,2.04518879184227,2.83997703842746,3.79080501009764,4.44246678932625,5.15348718031684,5.35329708202784,5.80793156712849,15.3503962992885,14.1566917190449,12.9155954791597,11.3475976501868,10.7588252264648,9.85390160819918,9.08033770782962,8.46808643720806,8.0826606344899,7.41667000338366,6.755684797083
2023-04-13,3,6.35336368588597,0,0,0,1.34861782767184,2.24615636219405,2.74748112513961,3.86399552097633,4.3678975039673,4.89450571780799,5.37357582128928,6.18044669958465,15.6322347155477,14.1767266633206,12.6532766535178,11.5651224293395,10.4545567870325,9.7893458349392,9.00859911176948,8.36390773303299,8.11434029150757,7.30332590822838,7.08137595449294
2023-04-20,4,6.31596983959667,0,0,0,0.939988805822593,2.15078706309568,3.02234222037962,3.5843838635264,4.26345437791433,4.62324713464778,5.44284367824609,5.71360901744779,15.8914282427424,13.6322425124414,12.9582240457857,11.7959860555913,10.196923758764,9.68224414599139,8.99894582063164,8.62031240898201,7.944444672096,7.55057716431575,6.95392535780823
2023-04-27,11,6.27857599428013,0,0,0,1.04137240772944,1.91289370230371,2.71814096084713,3.70777504649863,4.30781975026311,4.63328512084672,5.40267394008033,5.73563815141455,15.3277211220539,14.1427112042085,13.0212629424063,11.5589746602147,10.5230363095959,9.80114453197233,8.96964303265978,8.20700354730461,7.92146656234286,7.3701127730748,6.67547098427622
2023-05-04,5,6.24118214824714,0,0,0,0.991282683930354,1.90175812773618,2.94903864606074,3.45946014863192,3.90729302551485,4.6410261060296,5.13883286258435,5.86149914320665,16.9072295886274,14.0330918148219,13.0433376142387,11.5733040470487,10.7425573356937,9.38592598903934,8.89186399844701,8.21166239397226,7.89886835745755,7.26739729413404,6.85743598724868
2023-05-11,9,6.20378830249471,0,0,0,0.628894828195062,2.46967926765211,2.98547645963515,3.30771928881417,4.2737642055322,4.8629250378353,5.05813375048052,5.53596799574378,15.3154408809539,14.2209336828678,12.6445438987619,11.1744109147272,10.4423915737482,9.79506393136533,9.1478261673042,8.25294846330651,7.88095549388974,7.15835919242699,6.47075337326592
2023-05-18,12,6.1663944569002,0,0,0,1.05914125536654,1.87910590123697,2.72461179743697,3.56831134978871,3.8432872365167,4.68641624660367,5.01499903884077,5.67203408004088,15.5907677875329,13.763679160593,13.3012897373736,11.340987071184,9.97835279605063,9.53636402180061,9.05446993079212,8.25068729076349,7.98030831407184,7.20579273710551,6.6233900537305
2023-05-25,0,6.12900061130569,0,0,0,1.04744405752571,2.07702067857005,3.24286618359424,3.77242056475792,4.19544091256763,4.52772880782526,5.31995404348172,5.55339951989195,14.7401336901736,14.2542045546865,12.7874673249413,11.2791238898784,10.4085965041895,9.60380445139911,8.88369414633508,7.87196676475741,7.66643110653651,7.38442272303004,6.63358160730361
2023-06-01,NA,6.09160676571118,0,0,0,0.686519310777821,1.9441801760229,2.73596609510203,3.11820187722402,3.71131663269712,4.57858498525509,5.27112272945638,5.74565563757997,14.992844541012,14.1278941649145,12.8792487860684,11.484993522703,10.436040240303,9.27689561580324,8.38031223088359,7.84430333824474,7.57934139012701,7.23323090421823,6.73272856193469
2023-06-08,NA,6.05421292011667,0,0,0,0.677893606992817,2.15546306677088,2.84611968738918,3.2791679357743,3.93501802202396,4.4458132329796,5.30443766378499,5.62198475423012,14.9269855422269,13.6244632274574,12.5677203328855,11.2987763116961,10.4667719605224,9.60889607289146,8.77692396123818,8.2728396502526,7.58486192587638,7.14176881800286,6.76217967639597
2023-06-15,NA,6.01681907452216,0,0,0,0.926230096597899,1.86860952534954,2.69972728118754,3.07805584797434,3.80921437895072,4.58904205069995,4.76807468751752,5.53717306846685,14.8263996886924,13.7785913991746,12.636656803954,11.2071207423382,10.1038690333117,9.18233887771643,8.59464834334068,8.09975986998707,7.76700934407634,6.85870207491202,6.43081351773743
2023-06-22,NA,5.97942522892765,0,0,0,0.92389908292606,1.55651196133635,2.30382077935448,3.50897779066007,3.75368651398091,4.55816018181762,5.06669367626962,5.37187832123367,15.4642741109972,13.5756710434219,12.791366002474,11.2822284909687,10.110415169346,9.46027618325499,8.77462628866465,8.15291308974431,7.67559022315125,7.31830332635775,6.35170056338327
