"year","month","day","data","median","LB","UB"
2023,4,20,2,2,2,2
2023,4,27,0,11.6080963795131,0,49.0228068891299
2023,5,4,34,15.8748613329291,0,52.2746669200126
2023,5,11,6,19.4025895666745,0,56.5597505721804
2023,5,18,31,19.7636726938621,0,54.5548294833684
2023,5,25,18,18.7735503143043,0,54.0130931815924
2023,6,1,0,17.1215114197021,0,53.5594791212723
2023,6,8,24,15.0116986066167,0,50.8765342376146
2023,6,15,31,12.2829501655032,0,48.6664461479359
2023,6,22,0,10.4385161503972,0,48.0560406756604
2023,6,29,NA,9.41713291395957,0,48.2947289163429
2023,7,6,NA,8.00730348939301,0,51.2823937008708
2023,7,13,NA,7.38620981524916,0,52.2339709013483
2023,7,20,NA,6.60231653897797,0,54.2870444191442
