"month","day","data","median","LB","UB"
4,27,2,2,2,2
5,4,0,-3.29110727021504e-07,0,7.63352734056788e-07
5,11,0,-2.98166271005948e-07,0,8.43091668223568e-07
5,18,0,-2.79371632111247e-07,0,8.0760978903031e-07
5,25,0,-2.79442516923531e-07,0,8.04364222338939e-07
6,1,0,-2.48818978668064e-07,0,8.17075094254643e-07
6,8,0,-2.42012798780341e-07,0,8.39275523589923e-07
6,15,0,-2.21947808442125e-07,0,8.18564747506975e-07
6,22,0,-1.93204748120104e-07,0,7.99588375455401e-07
6,29,NA,-1.78527544183992e-07,0,8.76339601316708e-07
7,6,NA,-1.87543062422389e-07,0,8.32630081115277e-07
7,13,NA,-1.48722481536302e-07,0,9.14513888453703e-07
7,20,NA,-1.63157929544797e-07,0,9.0323555285557e-07
