time,Rt median,Rt 95%CI LB,Rt 95% CI UB
37.01,142232118.734331,141752836.448543,142719763.14755
38.01,4.58694067237955,3.65779044310981,5.45676607190005
39.01,1.28504412252783,1.18288963651048,1.41813496326574
40.01,0.987935910872163,0.903942878511028,1.10512974392988
41.01,0.920265966653448,0.841110324085096,1.04398918681803
42.01,0.886121383328441,0.818303088268467,0.991427861265457
43.01,0.865573014198844,0.805393418295796,0.946795623765718
44.01,0.84845208434349,0.785606506806288,0.915498262606615
45.01,0.835658263722023,0.769919004270994,0.889313616637782
46.01,0.825381985294563,0.758492578107064,0.878561546724434
47.01,0.816620315297813,0.737223243110946,0.869199491048422
48.01,0.80795481545975,0.732277336678103,0.862381524694203
49.01,0.804826530219093,0.713799886133814,0.86006236832507
50.01,0.796317986105395,0.713648161871513,0.855016581274699
51.01,0.795399917706104,0.696099969812945,0.853955063776859
52.01,0.788969060131765,0.694057285667686,0.851852935393692
53.01,0.787194584508007,0.692754796627467,0.850486585536619
54.01,0.786124181608988,0.683750379954688,0.848021638730158
55.01,0.78134600474512,0.680674527405433,0.847089049250754
56.01,0.781269132390256,0.675797523604286,0.847657233423352
57.01,0.781040701882878,0.679693860321851,0.848840575575742
58.01,0.779471016268742,0.674155443203781,0.84705733280423
59.01,0.779597968959266,0.67254879852266,0.846805410472279
