time,Rt median,Rt 95%CI LB,Rt 95% CI UB
37.01,142766408.636663,142003141.832675,143510963.816625
38.01,5.52435265883516,4.14373364878809,6.70001043855757
39.01,1.25941883503204,1.09049474730195,1.44101548825875
40.01,0.823164619357938,0.677024565039102,0.995940133383655
41.01,0.712384829259088,0.557967511329198,0.860577797793213
42.01,0.668819010126819,0.509321338932203,0.811356312353631
43.01,0.645784059592299,0.464232947560933,0.789917475474516
44.01,0.635672211944535,0.428268943864545,0.772472118051753
45.01,0.627846113972734,0.400171480999179,0.771493841310678
46.01,0.622242377119916,0.392732280549416,0.771433433707409
47.01,0.62038679043046,0.377505478318561,0.770665688627428
48.01,0.618949351937022,0.371649942629559,0.769792642023669
49.01,0.619941937760594,0.372021043212261,0.767538364302172
50.01,0.615616141600942,0.358649985012538,0.77160168625558
51.01,0.616584311674894,0.387164561709087,0.766879348421589
52.01,0.615524140980932,0.38147664107679,0.772476765118502
53.01,0.611053354446409,0.37977503658071,0.769629178234802
54.01,0.614748881143083,0.403353621380136,0.771665592159471
55.01,0.613383417541909,0.361137235598867,0.792132054933527
56.01,0.617067210499568,0.377108229925488,0.791629826429207
57.01,0.616864640496347,0.333372438408034,0.792363840180805
58.01,0.631264316162917,0.187737346151026,0.805264475205493
59.01,0.634740248042408,0.210629397287438,0.831923135786626
