time,Rt median,Rt 95%CI LB,Rt 95% CI UB
42.01,143623460.985062,141095205.921739,148273679.877083
43.01,6.89763167958162,2.22736228107703,11.8152248342158
44.01,1.641104414578,0.963764104457172,2.08833229917966
45.01,1.12701604955665,1.04404463641218,1.50906294363451
46.01,1.02507983047668,0.997586520763384,1.39799221610813
47.01,1.00710324473512,0.985763188594693,1.36631048596722
48.01,1.00387417469001,0.981949864657493,1.34581832582279
49.01,1.00308456291902,0.951846201538212,1.30405448267748
50.01,1.0025009943244,0.942366576307792,1.27628429304537
51.01,1.00223310745038,0.933108414558912,1.25886688291534
52.01,1.00193236686951,0.924604957702826,1.21541449451894
53.01,1.00162081813969,0.915471320671521,1.18259331431155
54.01,0.999681065012869,0.897754099061633,1.16307433039582
55.01,0.99367977105539,0.879951403937426,1.15404146128463
56.01,0.992737724231879,0.866845878352661,1.14473457506509
57.01,0.992119283811475,0.827473199530502,1.13645332309342
58.01,0.991878367397496,0.822258508391195,1.12910382300316
59.01,0.991473302007953,0.81017357975808,1.12128036820187
60.01,0.991075622549525,0.785887370772902,1.11485505089378
61.01,0.990802445749544,0.750349133853799,1.10752706400738
62.01,0.990751023841879,0.735734578604594,1.10033423515294
63.01,0.990469723112962,0.714006878945812,1.08775505687635
64.01,0.989550932359123,0.705231539299979,1.08105644588613
