"year","month","day","data","median","LB","UB"
2023,5,11,12,2.25578968114826,0,71.0801141613955
2023,5,18,0,2.04812811325894,0,49.7015815465804
2023,5,25,7,1.85736075688843,0,33.2104062218392
2023,6,1,1,1.68182730099962,0,38.3767129975187
2023,6,8,1,1.52005768056174,0,34.7323788628818
2023,6,15,0,1.37074728626009,0,38.9333703845309
2023,6,22,11,1.23273577727371,0,26.0324346163637
2023,6,29,0,1.10498893096377,0,19.983089576451
2023,7,6,0,0.986583035790197,0,18.2627370369912
2023,7,13,6,0.876691448783715,0,18.8582446867107
2023,7,20,NA,0.774572975815363,0,13.2828299221406
2023,7,27,NA,0.679561809493425,0,12.6612233809323
2023,8,3,NA,0.591058791670781,0,12.6570843528964
2023,8,10,NA,0.508523808783817,0,11.5713381772521
