"year","month","day","data","median","LB","UB"
2023,4,27,2,2,2,2
2023,5,4,0,1.39081663436454e-14,0,4.84956522075147e-14
2023,5,11,0,1.4274629422488e-14,0,4.85696670918482e-14
2023,5,18,0,1.44095030289566e-14,0,4.97293651316639e-14
2023,5,25,0,1.35469647564815e-14,0,4.89793671486855e-14
2023,6,1,0,1.46628944890288e-14,0,4.92791486656516e-14
2023,6,8,0,1.42171607733148e-14,0,4.8186784694755e-14
2023,6,15,0,1.46468718544834e-14,0,4.89952773984252e-14
2023,6,22,0,1.44608677570201e-14,0,4.80178364428946e-14
2023,6,29,0,1.44507545705177e-14,0,4.86810737779024e-14
2023,7,6,NA,1.41682420322902e-14,0,4.81379492640972e-14
2023,7,13,NA,1.46586298397789e-14,0,4.91827034727275e-14
2023,7,20,NA,1.47576053992627e-14,0,4.88093339258234e-14
2023,7,27,NA,1.38582047660046e-14,0,4.94353595423791e-14
